15/10/2025 14:52:49 | INFO     | server_lib.server_logger:<module>:53 | Sistema de logs inicializado. As saídas serão distribuídas.
15/10/2025 14:52:49 | SUCCESS  | server_lib.server_main:server_listen_loop:209 | Servidor TCP iniciado em 127.0.0.1:8765 (ID: SERVER_8765)
15/10/2025 14:52:50 | INFO     | server_lib.server_main:handle_connection:47 | Conexão de ('127.0.0.1', 53665) identificada como WORKER: WORKER_01
15/10/2025 14:52:50 | INFO     | server_lib.server_main:handle_connection:109 | [SERVER] Enviando primeira tarefa para worker WORKER_01: {'TASK': 'QUERY', 'USER': 'Fernanda'}
15/10/2025 14:52:51 | WARNING  | server_lib.server_heartbeat:send_heartbeat:35 | [HEARTBEAT] Tentativa 1/5 para SERVER_8766 falhou: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente
15/10/2025 14:52:52 | INFO     | server_lib.server_main:handle_connection:114 | [SERVER] Resultado recebido de WORKER_01: {'STATUS': 'OK', 'SALDO': 91, 'USER': 'Fernanda', 'WORKER_ID': 'WORKER_01'}
15/10/2025 14:52:52 | INFO     | server_lib.server_main:handle_connection:141 | [SERVER] Enviando próxima tarefa para worker WORKER_01: {'TASK': 'QUERY', 'USER': 'Fernanda'}
15/10/2025 14:52:54 | INFO     | server_lib.server_main:handle_connection:114 | [SERVER] Resultado recebido de WORKER_01: {'STATUS': 'OK', 'SALDO': 73, 'USER': 'Fernanda', 'WORKER_ID': 'WORKER_01'}
15/10/2025 14:52:54 | INFO     | server_lib.server_main:handle_connection:141 | [SERVER] Enviando próxima tarefa para worker WORKER_01: {'TASK': 'QUERY', 'USER': 'Fernanda'}
15/10/2025 14:52:55 | WARNING  | server_lib.server_heartbeat:send_heartbeat:35 | [HEARTBEAT] Tentativa 2/5 para SERVER_8766 falhou: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente
15/10/2025 14:52:56 | INFO     | server_lib.server_main:handle_connection:114 | [SERVER] Resultado recebido de WORKER_01: {'STATUS': 'OK', 'SALDO': 915, 'USER': 'Fernanda', 'WORKER_ID': 'WORKER_01'}
15/10/2025 14:52:56 | INFO     | server_lib.server_main:handle_connection:141 | [SERVER] Enviando próxima tarefa para worker WORKER_01: {'TASK': 'QUERY', 'USER': 'Michel'}
15/10/2025 14:52:58 | INFO     | server_lib.server_main:handle_connection:114 | [SERVER] Resultado recebido de WORKER_01: {'STATUS': 'OK', 'SALDO': 435, 'USER': 'Michel', 'WORKER_ID': 'WORKER_01'}
15/10/2025 14:52:58 | INFO     | server_lib.server_main:handle_connection:141 | [SERVER] Enviando próxima tarefa para worker WORKER_01: {'TASK': 'QUERY', 'USER': 'Fernanda'}
15/10/2025 14:52:59 | INFO     | server_lib.server_load_balancer:load_balancer_loop:47 | [LOAD] Tarefas completadas nos últimos 20s: 4
15/10/2025 14:52:59 | SUCCESS  | server_lib.server_load_balancer:load_balancer_loop:74 | [LOAD] Acima do threshold (4 > 2), servidor não saturado.
15/10/2025 14:52:59 | WARNING  | server_lib.server_heartbeat:send_heartbeat:35 | [HEARTBEAT] Tentativa 3/5 para SERVER_8766 falhou: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente
15/10/2025 14:53:00 | INFO     | server_lib.server_main:handle_connection:114 | [SERVER] Resultado recebido de WORKER_01: {'STATUS': 'OK', 'SALDO': 934, 'USER': 'Fernanda', 'WORKER_ID': 'WORKER_01'}
15/10/2025 14:53:00 | INFO     | server_lib.server_main:handle_connection:141 | [SERVER] Enviando próxima tarefa para worker WORKER_01: {'TASK': 'QUERY', 'USER': 'Joao'}
15/10/2025 14:53:01 | INFO     | server_lib.server_main:handle_connection:114 | [SERVER] Resultado recebido de WORKER_01: {'STATUS': 'NOK', 'TASK': 'QUERY', 'ERROR': 'User not found'}
15/10/2025 14:53:01 | INFO     | server_lib.server_main:handle_connection:141 | [SERVER] Enviando próxima tarefa para worker WORKER_01: {'TASK': 'QUERY', 'USER': 'Arthur'}
15/10/2025 14:53:03 | WARNING  | server_lib.server_heartbeat:send_heartbeat:35 | [HEARTBEAT] Tentativa 4/5 para SERVER_8766 falhou: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente
15/10/2025 14:53:03 | INFO     | server_lib.server_main:handle_connection:114 | [SERVER] Resultado recebido de WORKER_01: {'STATUS': 'OK', 'SALDO': 607, 'USER': 'Arthur', 'WORKER_ID': 'WORKER_01'}
15/10/2025 14:53:03 | INFO     | server_lib.server_main:handle_connection:141 | [SERVER] Enviando próxima tarefa para worker WORKER_01: {'TASK': 'QUERY', 'USER': 'Arthur'}
15/10/2025 14:53:05 | INFO     | server_lib.server_main:handle_connection:114 | [SERVER] Resultado recebido de WORKER_01: {'STATUS': 'OK', 'SALDO': 543, 'USER': 'Arthur', 'WORKER_ID': 'WORKER_01'}
15/10/2025 14:53:05 | INFO     | server_lib.server_main:handle_connection:141 | [SERVER] Enviando próxima tarefa para worker WORKER_01: {'TASK': 'QUERY', 'USER': 'Carlos'}
15/10/2025 14:53:07 | WARNING  | server_lib.server_heartbeat:send_heartbeat:35 | [HEARTBEAT] Tentativa 5/5 para SERVER_8766 falhou: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente
15/10/2025 14:53:07 | ERROR    | server_lib.server_heartbeat:send_heartbeat:45 | [HEARTBEAT] Todas as 5 tentativas para SERVER_8766 falharam.
15/10/2025 14:53:07 | WARNING  | server_lib.server_heartbeat:heartbeat_loop:61 | Removendo o peer inativo SERVER_8766 da lista de verificação.
15/10/2025 14:53:07 | INFO     | server_lib.server_main:handle_connection:114 | [SERVER] Resultado recebido de WORKER_01: {'STATUS': 'OK', 'SALDO': 577, 'USER': 'Carlos', 'WORKER_ID': 'WORKER_01'}
15/10/2025 14:53:07 | INFO     | server_lib.server_main:handle_connection:141 | [SERVER] Enviando próxima tarefa para worker WORKER_01: {'TASK': 'QUERY', 'USER': 'Carlos'}
15/10/2025 14:53:09 | INFO     | server_lib.server_load_balancer:load_balancer_loop:47 | [LOAD] Tarefas completadas nos últimos 20s: 9
15/10/2025 14:53:09 | SUCCESS  | server_lib.server_load_balancer:load_balancer_loop:74 | [LOAD] Acima do threshold (9 > 2), servidor não saturado.
15/10/2025 14:53:09 | INFO     | server_lib.server_main:handle_connection:114 | [SERVER] Resultado recebido de WORKER_01: {'STATUS': 'OK', 'SALDO': 170, 'USER': 'Carlos', 'WORKER_ID': 'WORKER_01'}
15/10/2025 14:53:09 | INFO     | server_lib.server_main:handle_connection:141 | [SERVER] Enviando próxima tarefa para worker WORKER_01: {'TASK': 'QUERY', 'USER': 'Joao'}
15/10/2025 14:53:10 | INFO     | server_lib.server_main:handle_connection:114 | [SERVER] Resultado recebido de WORKER_01: {'STATUS': 'NOK', 'TASK': 'QUERY', 'ERROR': 'User not found'}
15/10/2025 14:53:10 | INFO     | server_lib.server_main:handle_connection:141 | [SERVER] Enviando próxima tarefa para worker WORKER_01: {'TASK': 'QUERY', 'USER': 'Maria'}
15/10/2025 14:53:12 | INFO     | server_lib.server_main:handle_connection:114 | [SERVER] Resultado recebido de WORKER_01: {'STATUS': 'OK', 'SALDO': 328, 'USER': 'Maria', 'WORKER_ID': 'WORKER_01'}
15/10/2025 14:53:12 | INFO     | server_lib.server_main:handle_connection:141 | [SERVER] Enviando próxima tarefa para worker WORKER_01: {'TASK': 'QUERY', 'USER': 'Joao'}
15/10/2025 14:53:13 | INFO     | server_lib.server_main:handle_connection:114 | [SERVER] Resultado recebido de WORKER_01: {'STATUS': 'NOK', 'TASK': 'QUERY', 'ERROR': 'User not found'}
15/10/2025 14:53:13 | INFO     | server_lib.server_main:handle_connection:141 | [SERVER] Enviando próxima tarefa para worker WORKER_01: {'TASK': 'QUERY', 'USER': 'Carlos'}
15/10/2025 14:53:15 | INFO     | server_lib.server_main:handle_connection:114 | [SERVER] Resultado recebido de WORKER_01: {'STATUS': 'OK', 'SALDO': 829, 'USER': 'Carlos', 'WORKER_ID': 'WORKER_01'}
15/10/2025 14:53:15 | INFO     | server_lib.server_main:handle_connection:141 | [SERVER] Enviando próxima tarefa para worker WORKER_01: {'TASK': 'QUERY', 'USER': 'Carlos'}
15/10/2025 14:53:17 | INFO     | server_lib.server_main:handle_connection:114 | [SERVER] Resultado recebido de WORKER_01: {'STATUS': 'OK', 'SALDO': 111, 'USER': 'Carlos', 'WORKER_ID': 'WORKER_01'}
15/10/2025 14:53:17 | INFO     | server_lib.server_main:handle_connection:141 | [SERVER] Enviando próxima tarefa para worker WORKER_01: {'TASK': 'QUERY', 'USER': 'Michel'}
15/10/2025 14:53:19 | INFO     | server_lib.server_load_balancer:load_balancer_loop:47 | [LOAD] Tarefas completadas nos últimos 20s: 11
15/10/2025 14:53:19 | SUCCESS  | server_lib.server_load_balancer:load_balancer_loop:74 | [LOAD] Acima do threshold (11 > 2), servidor não saturado.
15/10/2025 14:53:19 | INFO     | server_lib.server_main:handle_connection:114 | [SERVER] Resultado recebido de WORKER_01: {'STATUS': 'OK', 'SALDO': 806, 'USER': 'Michel', 'WORKER_ID': 'WORKER_01'}
